Treatments,WEIGHT OF GRAIN YIELD PER HILL OF 20 PLANTS (G),POD LENGTH AT 65 DAYS AFTER PLANTING (CM),NUMBER OF POD PER PLANT AT 60 DAYS AFTER PLANTING,POD LOAD SCORING,MARUCA VITRATA % OF FLOWER INFESTATION AND DAMAGE,MEGALUROTHRIPS SJOSTEDTI OBSERVATION 1st observation,MEGALUROTHRIPS SJOSTEDTI OBSERVATION  2nd observation,MEGALUROTHRIPS SJOSTEDTI OBSERVATION 3RD OBSERVATION,MEGALUROTHRIPS SJOSTEDTI OBSERVATION 4th observation,MEGALUROTHRIPS SJOSTEDTI OBSERVATION 12TH OBSERVATION,APHIS CRACCIVORA INFESTATION OBSERVATION 1ST,APHIS CRACCIVORA INFESTATION 2ND OBSERVATION,APHIS CRACCIVORA INFESTATION 3RD OBSERVATION,APHIS CRACCIVORA INFESTATION 4TH OBSERVATION,APHIS CRACCIVORA INFESTATION 5TH OBSERVATION,APHIS CRACCIVORA INFESTATION 6TH OBSERVATION,Net plot grain weight (g),POD LOAD SCORING
A,21.35,16.95,15.65,3,30,2.65,2.45,2.45,2.55,2.65,0.1,0.85,1.5,3.1,3.7,3.7,354,3
A,18.95,16.6,12.15,3,25,2.4,2.9,2.2,2.85,2.6,0,2.7,3.1,3.7,3.5,3.3,326,3
A,21.9,17.7,12.4,2,10,2.2,2.5,2.45,2.35,2.7,0,2,2.6,3.1,3,3,282,2
A,19.9,15.25,9.85,2,15,2.65,2.65,2.05,2.25,2.7,0,2.1,2.8,2.7,3,3.5,224,2
B,21.9,16.35,12.2,2,20,2.6,2.45,2.65,2.3,2.55,0.2,0.6,1.6,3.15,3.6,3.8,364,2
B,27,14.3,13.85,2,25,2.8,2.5,2.6,2.4,3,0,2.5,2.9,3,3.3,3.2,366,2
B,25.1,15.45,8.55,1,15,2.75,2.65,2.45,2.6,2.4,0.2,2.2,3,2.9,3.3,3.4,320,1
B,24.4,18.2,9.9,1,20,2.25,2.3,2.2,2.45,2.45,0,2.3,3.15,2.7,2.8,3.3,260,1
C,36.1,17.45,14.8,2,25,2.3,2.85,2.55,2.4,2.4,0,0.7,1.7,2.9,3.4,3.5,386,2
C,33.6,16.6,13.4,2,20,2.75,2.55,2.55,2.75,2.6,0,2.4,3.2,3.5,3.1,3.2,278,2
C,33.7,18.5,11.55,1,10,2.7,2.6,2.65,2.55,2.85,0,2.1,2.9,3,3.1,3.8,466,1
C,28.45,15.15,11.25,1,5,2.55,2.4,2.55,2.7,2.5,0,2.2,3.5,3,2.8,3.5,540,1
D,20.8,15.95,12.6,2,25,2.75,3.05,2.7,2.65,2.8,0.05,0.45,1.6,3.6,3.7,3.9,344,2
D,23.2,16.6,9.9,2,15,2.5,2.75,2.65,2.3,2.65,0,1.9,2.7,3.5,3.1,3.1,442,2
D,30.6,17.8,11.55,1,20,2.45,2.8,2.4,2.65,2.3,0,2,3.1,3.4,3.3,3.5,176,1
D,24.2,18.4,12.55,2,25,2.7,2.95,2.4,2.5,2.35,0,2.1,2.8,3,3.1,3,462,2
E,10.9,16.4,9.85,3,35,2.7,2.1,2.55,2.8,2.2,0,0.65,1.5,3.4,3.3,3.9,122,3
E,14.6,12.65,5.9,4,35,2.55,2.75,2.65,2.05,2.7,0.05,2.4,3.1,3.2,3.8,3.4,198,4
E,14.2,12.6,5.8,4,30,2.65,3.05,2.15,2.55,2.85,0.05,2.4,3.4,3.1,3.4,3.9,110,4
E,14.5,11.45,6.6,3,30,2.35,2.95,2.35,2.35,2.5,0.05,2.2,3.2,3,3,3.4,116,3
