Treatments,GY_PER_20,POD_LENGTH_65,POD_PLANT_60,POD_SCORE,MVF_INF,MSJ_OBS_1ST,MSJ_OBS_2ND,MSJ_OBS_3RD,MSJ_OBS_4TH,MSJ_OBS_12TH,ACINF_OBS_1ST,ACINF_OBS_2ND,ACINF_OBS_3RD,ACINF_OBS_4TH,ACINF_OBS_5TH,ACINF_OBS_6TH,NP_Grain (g)
A,21.35,16.95,15.65,3,30,2.65,2.45,2.45,2.55,2.65,0.1,0.85,1.5,3.1,3.7,3.7,354
A,18.95,16.6,12.15,3,25,2.4,2.9,2.2,2.85,2.6,0,2.7,3.1,3.7,3.5,3.3,326
A,21.9,17.7,12.4,2,10,2.2,2.5,2.45,2.35,2.7,0,2,2.6,3.1,3,3,282
A,19.9,15.25,9.85,2,15,2.65,2.65,2.05,2.25,2.7,0,2.1,2.8,2.7,3,3.5,224
B,21.9,16.35,12.2,2,20,2.6,2.45,2.65,2.3,2.55,0.2,0.6,1.6,3.15,3.6,3.8,364
B,27,14.3,13.85,2,25,2.8,2.5,2.6,2.4,3,0,2.5,2.9,3,3.3,3.2,366
B,25.1,15.45,8.55,1,15,2.75,2.65,2.45,2.6,2.4,0.2,2.2,3,2.9,3.3,3.4,320
B,24.4,18.2,9.9,1,20,2.25,2.3,2.2,2.45,2.45,0,2.3,3.15,2.7,2.8,3.3,260
C,36.1,17.45,14.8,2,25,2.3,2.85,2.55,2.4,2.4,0,0.7,1.7,2.9,3.4,3.5,386
C,33.6,16.6,13.4,2,20,2.75,2.55,2.55,2.75,2.6,0,2.4,3.2,3.5,3.1,3.2,278
C,33.7,18.5,11.55,1,10,2.7,2.6,2.65,2.55,2.85,0,2.1,2.9,3,3.1,3.8,466
C,28.45,15.15,11.25,1,5,2.55,2.4,2.55,2.7,2.5,0,2.2,3.5,3,2.8,3.5,540
D,20.8,15.95,12.6,2,25,2.75,3.05,2.7,2.65,2.8,0.05,0.45,1.6,3.6,3.7,3.9,344
D,23.2,16.6,9.9,2,15,2.5,2.75,2.65,2.3,2.65,0,1.9,2.7,3.5,3.1,3.1,442
D,30.6,17.8,11.55,1,20,2.45,2.8,2.4,2.65,2.3,0,2,3.1,3.4,3.3,3.5,176
D,24.2,18.4,12.55,2,25,2.7,2.95,2.4,2.5,2.35,0,2.1,2.8,3,3.1,3,462
E,10.9,16.4,9.85,3,35,2.7,2.1,2.55,2.8,2.2,0,0.65,1.5,3.4,3.3,3.9,122
E,14.6,12.65,5.9,4,35,2.55,2.75,2.65,2.05,2.7,0.05,2.4,3.1,3.2,3.8,3.4,198
E,14.2,12.6,5.8,4,30,2.65,3.05,2.15,2.55,2.85,0.05,2.4,3.4,3.1,3.4,3.9,110
E,14.5,11.45,6.6,3,30,2.35,2.95,2.35,2.35,2.5,0.05,2.2,3.2,3,3,3.4,116
